date,province,location,rain_intensity_mm_per_hour,source
17/03/2024,بغداد,مطار بغداد,1.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,بغداد,جنوب بغداد,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,الموصل,0.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,ربيعة,1.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,تلعفر,1,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,البعاج,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,نينوى,زمار,2.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,كركوك,كركوك,1,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,كركوك,مطار كركوك,1,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,صلاح الدين,تكريت,1.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,صلاح الدين,بيجي,2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,صلاح الدين,الطوز,1.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,هيت,0.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,عنه,0.4,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,القائم,0.7,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,حديثة,1.6,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,الرمادي,4.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,النخيب,0,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,الانبار,الرطبة,0.8,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
17/03/2024,ديالي,الخالص,1.2,"الهيئة العامة للانواء الجوية والرصد الزلزالي, وزارة النقل, 2024"
